DATE_DEBUT;DATE_FIN;P_SOUSCRITE;PART_FIXE_MOIS_TTC;PART_FIXE_TTC;PART_VARIABLE_HC_HT;PART_VARIABLE_HC_TTC;PART_VARIABLE_HP_HT;PART_VARIABLE_HP_TTC
23/07/2012;31/07/2013;6;;;;0,0964;;0,1391
23/07/2012;31/07/2013;9;;;;0,0964;;0,1391
23/07/2012;31/07/2013;12;;;;0,0964;;0,1391
23/07/2012;31/07/2013;15;;;;0,0964;;0,1391
23/07/2012;31/07/2013;18;;;;0,0964;;0,1391
23/07/2012;31/07/2013;24;;;;0,0964;;0,1391
23/07/2012;31/07/2013;30;;;;0,0964;;0,1391
23/07/2012;31/07/2013;36;;;;0,0964;;0,1391
01/08/2013;31/10/2014;6;;;;0,1002;;0,1466
01/08/2013;31/10/2014;9;;;;0,1002;;0,1466
01/08/2013;31/10/2014;12;;;;0,1002;;0,1466
01/08/2013;31/10/2014;15;;;;0,1002;;0,1466
01/08/2013;31/10/2014;18;;;;0,1002;;0,1466
01/08/2013;31/10/2014;24;;;;0,1002;;0,1466
01/08/2013;31/10/2014;30;;;;0,1002;;0,1466
01/08/2013;31/10/2014;36;;;;0,1002;;0,1466
01/11/2014;31/07/2015;6;;;;0,1057;;0,1533
01/11/2014;31/07/2015;9;;;;0,1057;;0,1533
01/11/2014;31/07/2015;12;;;;0,1057;;0,1533
01/11/2014;31/07/2015;15;;;;0,1057;;0,1533
01/11/2014;31/07/2015;18;;;;0,1057;;0,1533
01/11/2014;31/07/2015;24;;;;0,1057;;0,1533
01/11/2014;31/07/2015;30;;;;0,1057;;0,1533
01/11/2014;31/07/2015;36;;;;0,1057;;0,1533
01/08/2015;31/07/2016;6;7,87;94,44;;0,115;;0,1637
01/08/2015;31/07/2016;9;10,54;126,48;;0,115;;0,1637
01/08/2015;31/07/2016;12;17,06;204,72;;0,115;;0,1637
01/08/2015;31/07/2016;15;19,77;237,24;;0,115;;0,1637
01/08/2015;31/07/2016;18;22,24;266,88;;0,115;;0,1637
01/08/2015;31/07/2016;24;46,68;560,16;;0,115;;0,1637
01/08/2015;31/07/2016;30;55,16;661,92;;0,115;;0,1637
01/08/2015;31/07/2016;36;63,45;761,4;;0,115;;0,1637
01/08/2016;31/07/2017;6;;;;0,127;;0,156
01/08/2016;31/07/2017;9;;;;0,127;;0,156
01/08/2016;31/07/2017;12;;;;0,127;;0,156
01/08/2016;31/07/2017;15;;;;0,127;;0,156
01/08/2016;31/07/2017;18;;;;0,127;;0,156
01/08/2016;31/07/2017;24;;;;0,127;;0,156
01/08/2016;31/07/2017;30;;;;0,127;;0,156
01/08/2016;31/07/2017;36;;;;0,127;;0,156
01/08/2017;31/01/2018;6;;;;0,1252;;0,1593
01/08/2017;31/01/2018;9;;;;0,1252;;0,1593
01/08/2017;31/01/2018;12;;;;0,1252;;0,1593
01/08/2017;31/01/2018;15;;;;0,1252;;0,1593
01/08/2017;31/01/2018;18;;;;0,1252;;0,1593
01/08/2017;31/01/2018;24;;;;0,1252;;0,1593
01/08/2017;31/01/2018;30;;;;0,1252;;0,1593
01/08/2017;31/01/2018;36;;;;0,1252;;0,1593
01/02/2018;31/07/2018;6;;;;0,1245;;0,1593
01/02/2018;31/07/2018;9;;;;0,1244;;0,1593
01/02/2018;31/07/2018;12;;;;0,1244;;0,1593
01/02/2018;31/07/2018;15;;;;0,1244;;0,1593
01/02/2018;31/07/2018;18;;;;0,1244;;0,1593
01/02/2018;31/07/2018;24;;;;0,1244;;0,1593
01/02/2018;31/07/2018;30;;;;0,1244;;0,1593
01/02/2018;31/07/2018;36;;;;0,1244;;0,1593
01/08/2018;31/05/2019;6;;;;0,1228;;0,1579
01/08/2018;31/05/2019;9;;;;0,1228;;0,1579
01/08/2018;31/05/2019;12;;;;0,1228;;0,1579
01/08/2018;31/05/2019;15;;;;0,1228;;0,1579
01/08/2018;31/05/2019;18;;;;0,1228;;0,1579
01/08/2018;31/05/2019;24;;;;0,1228;;0,1579
01/08/2018;31/05/2019;30;;;;0,1228;;0,1579
01/08/2018;31/05/2019;36;;;;0,1228;;0,1579
01/06/2019;31/07/2019;6;;;;0,1319;;0,1703
01/06/2019;31/07/2019;9;;;;0,1319;;0,1703
01/06/2019;31/07/2019;12;;;;0,1319;;0,1703
01/06/2019;31/07/2019;15;;;;0,1319;;0,1703
01/06/2019;31/07/2019;18;;;;0,1319;;0,1703
01/06/2019;31/07/2019;24;;;;0,1319;;0,1703
01/06/2019;31/07/2019;30;;;;0,1319;;0,1703
01/06/2019;31/07/2019;36;;;;0,1319;;0,1703
01/08/2019;31/01/2020;6;;;;0,132;;0,171
01/08/2019;31/01/2020;9;;;;0,132;;0,171
01/08/2019;31/01/2020;12;;;;0,132;;0,171
01/08/2019;31/01/2020;15;;;;0,132;;0,171
01/08/2019;31/01/2020;18;;;;0,132;;0,171
01/08/2019;31/01/2020;24;;;;0,132;;0,171
01/08/2019;31/01/2020;30;;;;0,132;;0,171
01/08/2019;31/01/2020;36;;;;0,132;;0,171
01/02/2020;31/07/2020;6;;;;0,1337;;0,1781
01/02/2020;31/07/2020;9;;;;0,1337;;0,1781
01/02/2020;31/07/2020;12;;;;0,1337;;0,1781
01/02/2020;31/07/2020;15;;;;0,1337;;0,1781
01/02/2020;31/07/2020;18;;;;0,1337;;0,1781
01/02/2020;31/07/2020;24;;;;0,1337;;0,1781
01/02/2020;31/07/2020;30;;;;0,1337;;0,1781
01/02/2020;31/07/2020;36;;;;0,1337;;0,1781
01/08/2020;31/01/2021;6;11,6;139,2;;0,13442;;0,17978
01/08/2020;31/01/2021;9;14,34;172,08;;0,13442;;0,17978
01/08/2020;31/01/2021;12;16,93;203,16;;0,13442;;0,17978
01/08/2020;31/01/2021;15;19,38;232,56;;0,13442;;0,17978
01/08/2020;31/01/2021;18;21,63;259,56;;0,13442;;0,17978
01/08/2020;31/01/2021;24;26,72;320,64;;0,13442;;0,17978
01/08/2020;31/01/2021;30;29,51;354,12;;0,13442;;0,17978
01/08/2020;31/01/2021;36;33,45;401,4;;0,13442;;0,17978
01/02/2021;31/07/2021;6;;;;0,1353;;0,1853
01/02/2021;31/07/2021;9;;;;0,1353;;0,1853
01/02/2021;31/07/2021;12;;;;0,1353;;0,1853
01/02/2021;31/07/2021;15;;;;0,1353;;0,1853
01/02/2021;31/07/2021;18;;;;0,1353;;0,1853
